date,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
2020-02-25,109,29,137,275,1,7,283,6224
2020-02-26,128,36,221,385,3,12,400,9587
2020-02-27,248,56,284,588,45,17,650,12014
2020-02-28,345,64,412,821,46,21,888,15695
2020-02-29,401,105,543,1049,50,29,1128,18661
2020-03-01,639,140,798,1577,83,34,1694,21127
2020-03-02,742,166,927,1835,149,52,2036,23345
2020-03-03,1034,229,1000,2263,160,79,2502,25856
2020-03-04,1346,295,1065,2706,276,107,3089,29837
2020-03-05,1790,351,1155,3296,414,148,3858,32362
2020-03-06,2394,462,1060,3916,523,197,4636,36359
2020-03-07,2651,567,1843,5061,589,233,5883,42062
